word,clue,length
ЖУПАН,Верхній чоловічий одяг козацької доби,5
КЕПТАР,Гуцульська безрукавка з овчини,6
СЕРДАК,Верхній вовняний одяг горян,6
ОЧІПОК,Головний убір заміжньої жінки,6
КОРАЛІ,Багаторядне намисто з червоних кульок,6
ДУКАЧ,Прикраса-медальйон на шию з монети,5
КРАЙКА,Тканий пояс до вишиванки,6
ЗАПАСКА,Жіночий одяг типу обгортки замість спідниці,7
ПЛАХТА,Жіночий одяг із двох полотнищ, обгорнутих навколо стану,6
ПОСТОЛИ,Прості шкіряні личаки селян,7
КРИСАНЯ,Гуцульський крислатий капелюх,7
ГЕРДАН,Прикраса з бісеру на шию,6
СИЛЯНКА,Плетена з бісеру прикраса,7
ОРНАМЕНТ,Візерунок із повторюваних елементів,8
