word,clue,length
ЩАВЕЛЬ,Кисла зелень для весняного борщу,6
ЛОБОДА,Дика їстівна трава для юшки,6
ПОРІЙ,Довгий зелений родич цибулі,5
ХРІН,Гострий білий корінь-приправа,4
БАТАТ,Солодка помаранчева бульба,5
ТОПІНАМБУР,Бульба, схожа на картоплю, з присмаком горіха,10
ПАСТЕРНАК,Білий пряний коренеплід родини морквяних,9
ЦУКІНІ,Довгастий різновид кабачка,6
ПАТИСОН,Гарбузова культура тарілкоподібної форми,7
АРТИШОК,Квіткова бруньку-овоч з їстівною основою листків,7
РЕВІНЬ,Кислуватий стеблоплід для компотів і варення,6
ДРІЖДЖІ,Гриб-розпушувач для тіста,7
ВАНІЛІН,Дешевий штучний ароматизатор випічки,7
БАРВНИК,Речовина, що надає їжі кольору,7
ЗАГУСНИК,Речовина, що робить страву густішою,8
ЖЕЛАТИН,Речовина тваринного походження для застигання страв,7
