word,clue,length
АБРИКОСА,Оранжевий кістянковий літній фрукт,8
ПЕРСИК,Пухнастий соковитий кістянковий плід,6
СЛИВА,Темно-фіолетовий кістянковий плід,5
АЙВА,Твердий ароматний осінній плід,4
ГРАНАТ,Плід з безліччю зерняток у соковитій оболонці,6
ХУРМА,Помаранчевий терпкий осінній плід,5
КИЗИЛ,Кислий червоний плід чагарника,5
ШОВКОВИЦЯ,Темна солодка ягода з дерева,9
АГРУС,Кисло-солодка ягода з колючого куща,5
ПОРІЧКИ,Дрібні гроновидні ягоди, червоні чи чорні,7
БАКЛАЖАН,Темно-фіолетовий довгастий овоч,8
ГАРБУЗ,Великий помаранчевий осінній овоч,6
РЕДИСКА,Дрібний гострий корінний овоч,7
РЕВІНЬ,Рослина з кислими їстівними стеблами,6
ЩАВЕЛЬ,Кисла зелень для супу,6
