word,clue,length
БАНКЕТКА,Невеликі м'які меблі для сидіння без спинки,8
ПУФ,М'яке низьке сидіння без спинки й підлокітників,3
СЕКРЕТЕР,Письмовий стіл із відкидною стільницею,8
БЮРО,Невеликий письмовий стіл із шухлядами,4
СЕРВАНТ,Меблі для зберігання й показу посуду,7
ГАРДЕРОБНА,Кімната чи ніша для зберігання одягу,10
АНТРЕСОЛЬ,Верхня полиця шафи чи додатковий поверх під стелею,9
БАЛДАХІН,Тканинний навіс над ліжком,8
ЖАЛЮЗІ,Регульовані планки для затінення вікна,6
КИЛИМОК,Мала тканина для підлоги біля ліжка,7
ВАЗА,Посудина для квітів чи прикраси,4
СВІЧНИК,Підставка для свічки,7
РАМКА,Обрамлення для фотографії,5
ПОСТЕР,Великий друкований плакат на стіну,6
