word,clue,length
ХОВАНКИ,Гра, у якій один шукає інших, що заховались,7
ДОГАНЯЛКИ,Гра, у якій треба когось спіймати бігом,9
ЖМУРКИ,Гра з зав'язаними очима навпомацки,6
КЛАСИКИ,Гра зі стрибками по намальованих квадратах,7
СКАКАЛКА,Мотузка для стрибків,8
ГУМКА,Еластична смужка для дитячої гри зі стрибками,5
ФАНТИ,Гра із завданнями за програш,5
ЛОТО,Гра з номерами на картках і бочонками,4
ДОМІНО,Гра з прямокутними кістками з крапками,6
ШАШКИ,Настільна гра з фігурами на клітинках,5
ПАСЬЯНС,Розкладання карт наодинці за правилами,7
ВІКТОРИНА,Змагання зі знання фактів,9
ГОЛОВОЛОМКА,Задача, що вимагає кмітливості,11
РЕБУС,Загадка із зображеннями замість слів,5
ШАРАДА,Загадка зі складів слова,6
