word,clue,length
ГЛАДІОЛУС,Високий квітконос з мечоподібним листям,9
ГЕОРГІНА,Пишна осіння квітка з бульбовим коренем,8
НАРЦИС,Весняна квітка з жовтою коронкою,6
ГІАЦИНТ,Ароматна квітка з щільним суцвіттям навесні,7
КРОКУС,Одна з перших весняних квіток,6
БЕГОНІЯ,Кімнатна квітка з м'ясистим листям,7
ФІАЛКА,Дрібна квітка з оксамитовими пелюстками,6
ГОРТЕНЗІЯ,Кущова рослина з великими кулястими суцвіттями,9
ЖАСМИН,Кущ з ароматними білими квітками,6
БУЗОК,Кущ з гроновидними весняними квітками,5
ЖОРЖИНА,Інша назва пишної осінньої квітки з бульбою,7
АНЮТИНІ,Очки ..., дрібна квітка з візерунком на пелюстках,7
БЕЗСМЕРТНИК,Квітка, що не в'яне навіть у сухому вигляді,11
ЕДЕЛЬВЕЙС,Рідкісна гірська квітка з білястим пушком,9
МІМОЗА,Жовта весняна квітка, символ весняного свята,6
