word,clue,length
ЛОПАТА,Знаряддя для копання землі,6
ГРАБЛІ,Знаряддя з зубцями для згрібання,6
СОКИРА,Знаряддя для рубання,6
МОТИКА,Знаряддя для розпушування землі,6
ЛІЙКА,Посудина для поливу рослин,5
КОСАРКА,Машина для стрижки трави на газоні,7
СЕКАТОР,Ножиці для обрізання гілок,7
ГРАБАРКА,Знаряддя для перенесення землі й сміття,8
ТАЧКА,Одноколісний візок для перевезення вантажу,5
ТЕПЛИЦЯ,Прозора споруда для вирощування рослин,7
РОЗСАДА,Молоді рослини для пересадки в грунт,7
НАСІННЯ,Зародок рослини для посіву,7
ГУМУС,Родючий шар грунту,5
КОМПОСТ,Перегній з рослинних решток,7
ШПАЛЕРА,Опора для витких рослин,7
