word,clue,length
АЛМАЗ,Найтвердіший природний мінерал,5
СМАРАГД,Зелений дорогоцінний камінь,7
РУБІН,Червоний дорогоцінний камінь,5
САПФІР,Синій дорогоцінний камінь,6
ТОПАЗ,Жовтуватий напівдорогоцінний камінь,5
АМЕТИСТ,Фіолетовий різновид кварцу,7
ГРАНАТ,Темно-червоний напівдорогоцінний камінь,6
ЯНТАР,Скам'яніла смола дерев,5
ПЕРЛИНА,Кулька, що утворюється всередині мушлі,7
ОПАЛ,Камінь з переливчастим блиском,4
ХРИЗОЛІТ,Оливково-зелений напівдорогоцінний камінь,8
ТУРМАЛІН,Різнобарвний напівдорогоцінний камінь,8
БІРЮЗА,Блакитно-зелений напівдорогоцінний камінь,6
ХАЛЦЕДОН,Напівпрозорий різновид кварцу,8
ЯШМА,Непрозорий різнобарвний камінь для оздоблення,4
