word,clue,length
КИЇВ,Столиця України на Дніпрі,4
ЛЬВІВ,Найбільше місто західної частини України,5
ОДЕСА,Портове місто-курорт на Чорному морі,5
ХАРКІВ,Друге за населенням місто України,6
ДНІПРО,"Четверте за величиною місто країни, перейменоване 2016 року",6
ДОНЕЦЬК,Промислове місто Донбасу,7
МИКОЛАЇВ,Місто корабелів на Південному Бузі,8
МАРІУПОЛЬ,Портове місто на Азовському морі,9
ЛУГАНСЬК,"Обласний центр далекого сходу, нині поза контролем Києва",8
ВІННИЦЯ,"Місто на Бузі, славне фонтаном Рошен",7
ЧЕРНІГІВ,Одне з найдавніших міст Русі на Десні,8
ЧЕРКАСИ,Обласний центр над Кременчуцьким водосховищем,7
ЖИТОМИР,"Місто на Тетереві, космічна колиска Корольова",7
СУМИ,Обласний центр на Псьолі,4
РІВНЕ,Обласний центр на Усті,5
ТЕРНОПІЛЬ,Місто над однойменним ставом,9
ЛУЦЬК,Обласний центр Волині над Стиром,5
УЖГОРОД,"Найзахідніший обласний центр, на річці Уж",7
ЧЕРНІВЦІ,"Місто над Прутом, колишня австрійська Буковина",8
ПОЛТАВА,Місто битви 1709 року,7
ХЕРСОН,Портове місто в гирлі Дніпра,6
СІМФЕРОПОЛЬ,Найбільше місто Кримського півострова,11
СЕВАСТОПОЛЬ,База Чорноморського флоту в Криму,11
ЯЛТА,Курортне місто південного берега Криму,4
БЕРДЯНСЬК,Курортне портове місто на Азовському морі,9
ІЗМАЇЛ,Дунайське портове місто на півдні Одещини,6
БЕРДИЧІВ,"Місто на Житомирщині, батьківщина Бальзакового весілля",8
ДРОГОБИЧ,Нафтове місто на Львівщині,8
КОЛОМИЯ,Місто на Прикарпатті над Прутом,7
ХОТИН,Місто з відомою фортецею на Дністрі,5
ЯРЕМЧЕ,Гірський курорт у Карпатах,6
ТРУСКАВЕЦЬ,Курорт мінеральних вод на Прикарпатті,10
СЛАВУТИЧ,"Наймолодше місто, збудоване після аварії на АЕС",8
ПРИЛУКИ,Місто на Чернігівщині над Удаєм,7
НІЖИН,"Місто, відоме солоними огірками",5
КОНОТОП,"Місто на Сумщині, місце битви 1659 року",7
ОХТИРКА,Місто на Сумщині над Ворсклою,7
ШОСТКА,"Місто на Сумщині, хімічна промисловість",6
УМАНЬ,Місто з парком Софіївка,5
СМІЛА,"Місто на Черкащині, залізничний вузол",5
КАНІВ,"Місто над Дніпром, місце поховання Шевченка",5
ЯГОТИН,Місто на Київщині над однойменним ставом,6
БОРИСПІЛЬ,Місто з головним аеропортом країни,9
ІРПІНЬ,Місто-супутник Києва на однойменній річці,6
БУЧА,Місто в Київській області,4
ФАСТІВ,Залізничний вузол на Київщині,6
ОБУХІВ,Місто на Київщині над Дніпром,6
БРОВАРИ,Місто-супутник Києва на Лівобережжі,7
ПЕРЕЯСЛАВ,"Історичне місто над Трубежем, місце ради 1654 року",9
БУРШТИН,Місто на Прикарпатті з великою тепловою станцією,7
КАЛУШ,Хімічне місто на Івано-Франківщині,5
СТРИЙ,Місто на Львівщині над однойменною річкою,5
САМБІР,Давнє місто на Львівщині,6
ЯВОРІВ,Місто з відомим військовим полігоном,6
МУКАЧЕВО,Місто на Закарпатті зі старовинним замком,8
ХУСТ,Місто на Закарпатті над Тисою,4
РАХІВ,Найвище розташоване місто Закарпаття,5
ІЗЮМ,Місто на Харківщині над Осколом,4
ЛОЗОВА,Залізничний вузол на Харківщині,6
КРЕМЕНЧУК,Місто на Полтавщині з великим водосховищем,9
МИРГОРОД,"Курортне місто, оспіване Гоголем",8
ГАДЯЧ,Давнє місто на Полтавщині,5
КОВЕЛЬ,Залізничний вузол на Волині,6
ВОЛОДИМИР,"Найдавніше місто Волині, назване на честь князя",9
ЗІНЬКІВ,Старовинне місто на Полтавщині,7
КОРОСТЕНЬ,"Місто, повязане з деревлянською княгинею Ольгою",9
ОВРУЧ,Одне з найдавніших міст Полісся,5
ЗАЛІЩИКИ,Курортне містечко над Дністром на Тернопільщині,8
БЕРЕГОВЕ,Угорськомовне місто Закарпаття,8
СВАЛЯВА,"Містечко на Закарпатті, відоме мінеральними водами",7
КОЗЯТИН,Великий залізничний вузол на Вінниччині,7
ЯМПІЛЬ,Місто над Дністром на Вінниччині,6
ДНІСТЕР,"Ріка, що починається в Карпатах і впадає в лиман",7
ДУНАЙ,"Найбільша річка Європи, гирло якої в Україні",5
ПРУТ,"Гірська річка Карпат, притока Дунаю",4
ДЕСНА,"Ліва притока Дніпра, що тече через Чернігів",5
ПСЬОЛ,"Річка, на якій стоять Суми",5
ВОРСКЛА,"Річка, на якій відбулася Полтавська битва поблизу",7
ІНГУЛ,"Річка, що впадає в Південний Буг у Миколаєві",5
ІНГУЛЕЦЬ,"Притока Дніпра, що тече через Кривий Ріг",8
ТЕТЕРІВ,"Річка, на якій стоїть Житомир",7
РОСЬ,Права притока Дніпра на Черкащині,4
СТИР,"Річка Волині, на якій стоїть Луцьк",4
ГОРИНЬ,Притока Прип'яті на Волині та Рівненщині,6
СЛУЧ,"Річка Полісся, притока Горині",4
ТИСА,Гірська річка Закарпаття,4
ЛАТОРИЦЯ,"Річка Закарпаття, притока Тиси",8
СУЛА,Ліва притока Дніпра на Полтавщині,4
ОРІЛЬ,"Річка, що межує Дніпропетровщину й Полтавщину",5
САМАРА,Ліва притока Дніпра на Дніпропетровщині,6
КАЛЬМІУС,"Річка Донбасу, що впадає в Азовське море",8
МОЛОЧНА,"Річка Запорізької області, що впадає в лиман",7
УДАЙ,"Річка Чернігівщини, на якій стоять Прилуки",4
ЗБРУЧ,"Річка, що колись була кордоном між імперіями",5
ЛИМАН,"Затока в гирлі річки, відділена косою від моря",5
ЗАТОКА,"Частина моря, що глибоко вдається в суходіл",6
