word,clue,length
ПАРАЛЕЛОГРАМ,Чотирикутник з двома парами рівнобіжних сторін,12
ТРАПЕЦІЯ,Чотирикутник з однією парою паралельних сторін,8
РОМБ,Чотирикутник з рівними сторонами й косими кутами,4
КВАДРАТ,Чотирикутник з рівними сторонами й прямими кутами,7
ПРЯМОКУТНИК,Чотирикутник з чотирма прямими кутами,11
ТРИКУТНИК,Фігура з трьома сторонами,9
МНОГОКУТНИК,Фігура з багатьма сторонами,11
ОКРУЖНІСТЬ,Замкнена лінія, рівновіддалена від центра,10
РАДІУС,Відрізок від центра кола до його межі,6
ДІАМЕТР,Відрізок, що проходить через центр кола,7
ДОТИЧНА,Пряма, що торкається кола в одній точці,7
БІСЕКТРИСА,Промінь, що ділить кут навпіл,10
ХОРДА,"Відрізок, що з'єднує дві точки кола",5
ГІПОТЕНУЗА,Найдовша сторона прямокутного трикутника,10
КАТЕТ,Сторона прямокутного трикутника біля прямого кута,5
