word,clue,length
ЛАПКИ,Парний знак для виділення чужих слів,5
ДУЖКИ,Парний знак для додаткової інформації,5
ЗНАК,Умовне позначення на письмі,4
АБРЕВІАТУРА,Скорочення, утворене з початкових літер слів,11
СКОРОЧЕННЯ,Стиснена форма слова чи словосполучення,10
ТРАНСКРИПЦІЯ,Запис звучання слова умовними знаками,12
ПРІЗВИЩЕ,Спадкове родове ім'я людини,8
ЕПОНІМ,Слово, утворене від власного імені,6
НЕОЛОГІЗМ,Нещодавно утворене слово,9
АРХАЇЗМ,Застаріле слово, що вийшло з ужитку,7
ЖАРГОН,Мова вузького кола людей,6
СЛЕНГ,Неформальна розмовна лексика молоді,5
