word,clue,length
ЗЕВС,Верховний бог грецького пантеону, володар грому,4
ГЕРА,Богиня шлюбу й сімї, дружина верховного бога,4
ПОСЕЙДОН,Бог морів і землетрусів,8
АЇД,Бог підземного царства мертвих,3
АФІНА,Богиня мудрості й справедливої війни,5
АРЕС,Бог кровопролитної війни,4
АФРОДІТА,Богиня кохання й краси,8
АПОЛЛОН,Бог сонця, музики й пророцтв,7
АРТЕМІДА,Богиня полювання й місяця,8
ГЕРМЕС,Бог торгівлі й посланець богів,6
ГЕФЕСТ,Бог ковальства й вогню,6
ДІОНІС,Бог виноробства й веселощів,6
ДЕМЕТРА,Богиня родючості й врожаю,7
ГЕСТІЯ,Богиня домашнього вогнища,6
КРОНОС,Титан часу, батько верховних богів,6
