word,clue,length
ЗАЧІСКА,Оформлення волосся на голові,7
КОСА,Заплетене в пасма волосся,4
ХВІСТ,Зібране й перев'язане волосся ззаду,5
ЧУБ,Пасмо волосся, залишене на лобі,3
ЧОЛКА,Пасмо волосся, підстрижене на лобі,5
КУЧЕРІ,Завиті пасма волосся,6
ФЕН,Пристрій для сушіння волосся,3
РОЗЧІСКА,Інструмент з зубцями для укладання волосся,8
НОЖИЦІ,Ріжучий інструмент перукаря,6
ПЕРУКАР,Майстер стрижки й укладання волосся,7
ФАРБУВАННЯ,Зміна кольору волосся хімічним засобом,10
МЕЛІРУВАННЯ,Освітлення окремих пасом волосся,11
ПЕРУКА,Штучний накладний волосяний покрив,6
ЛАК,Засіб для фіксації зачіски,3
ГРЕБІНЕЦЬ,Інструмент для розчісування волосся,9
