word,clue,length
ЗВІРОБІЙ,Лікарська трава із жовтими квітками,8
МЕЛІСА,Трава з лимонним ароматом для чаю,6
МАТЕРИНКА,Запашна лугова трава для чаю й приправ,9
ДЕРЕВІЙ,Лікарська трава з дрібними білими суцвіттями,7
ШАВЛІЯ,Сірувато-зелена лікарська й пряна трава,6
ЕСТРАГОН,Пряна трава із гострим смаком, ще звана тархуном,8
КОРІАНДР,Пряна трава, чиє насіння звуть кінзою,8
ФЕНХЕЛЬ,Пряна рослина зі смаком, схожим на аніс,7
АНІС,Пряна рослина з солодкуватим смаком,4
ПАПРИКА,Червона мелена приправа з солодкого перцю,7
КАРДАМОН,Пряність зі стручків, популярна в кавовому напої,8
МОРС,Кисло-солодкий напій із ягідного соку й води,4
САКЕ,Японський напій із зброджуваного рису,4
АБСЕНТ,Міцний гіркий напій із полину,6
ЛІКЕР,Солодкий міцний напій із настоєм трав чи фруктів,5
БРЕНДІ,Міцний напій, витриманий у бочках із виноградного спирту,6
ЕСПРЕСО,Міцний напій з дрібно змеленої обсмаженої кави,7
КАПУЧИНО,Кавовий напій зі збитою молочною пінкою,8
ЛАТТЕ,Кавовий напій з великою кількістю молока,5
МАТЧА,Японський чай у вигляді яскраво-зеленого порошку,5
СМУЗІ,Густий напій зі збитих фруктів чи овочів,5
СИРОП,Густа солодка рідина для напоїв і десертів,5
