word,clue,length
РЕМОНТ,Виправлення пошкоджень і оновлення приміщення,6
ШПАКЛІВКА,Суміш для вирівнювання поверхні стін,9
ГРУНТОВКА,Розчин для підготовки поверхні перед фарбуванням,9
ВАЛИК,Циліндричний інструмент для нанесення фарби,5
ПЕНЗЕЛЬ,Інструмент з ворсом для фарбування,7
ШТУКАТУРКА,Суміш для оздоблення стін і стель,10
ШПАЛЕРИ,Рулонний матеріал для оздоблення стін,7
ЛАМІНАТ,Покриття для підлоги з деревною текстурою,7
ПЛИТКА,Керамічний матеріал для облицювання,6
ПЕРФОРАТОР,Інструмент для свердління твердих поверхонь,10
ШУРУПОВЕРТ,Акумуляторний інструмент для закручування кріплень,10
РІВЕНЬ,Інструмент для перевірки горизонталі,6
РУЛЕТКА,Інструмент для вимірювання довжини,7
ДРИЛЬ,Інструмент для свердління отворів,5
СТЕЛЯ,Верхня межа приміщення,5
