word,clue,length
ФУНДАМЕНТ,Підземна опорна частина будівлі,9
ПІДВАЛ,Приміщення нижче рівня землі під будинком,6
ГОРИЩЕ,Простір під дахом будинку,6
ДАХ,Верхнє покриття будівлі,3
СТІНА,Вертикальна конструкція, що огороджує приміщення,5
СХОДИ,Конструкція для підйому між поверхами,5
ПОРІГ,Нижня частина дверного отвору,5
ВІКОНЦЕ,Невеликий отвір у стіні для світла,7
БАЛКОН,Виступаюча відкрита площадка на фасаді,6
ТЕРАСА,Відкрита площадка на рівні землі біля будинку,6
ГАНОК,Приступка перед входом у будинок,5
КОМІН,Труба для виведення диму з печі,5
ВОДОСТІК,Труба для відведення дощової води з даху,8
ОГОРОЖА,Конструкція навколо ділянки для захисту,7
ХВІРТКА,Невелика дверцята в паркані,7
