word,clue,length
СТЕЖКА,Слід звіра на землі,6
НОРА,Підземне житло дикого звіра,4
ЛІГВО,Прихисток хижого звіра,5
БАРЛІГ,Зимове житло ведмедя,6
ГНІЗДО,Житло, збудоване птахом для яєць,6
ЛЕГАВИЙ,Мисливський пес, що вказує на здобич,7
ХОРТ,Мисливський пес для полювання на бігу з ловом,4
ДРІБ,Свинцеві кульки для мисливського набою,4
ПОРОХ,Вибухова речовина для набою,5
ГІЛЬЗА,Металева оболонка набою,6
СЛІД,Відбиток лапи звіра на землі,4
ВИСТРІЛ,Постріл зі зброї,7
ЗАСІДКА,Прихована позиція для очікування здобичі,7
МАНОК,Пристрій для приманювання звіра звуком,5
ТРОФЕЙ,Здобутий мисливцем предмет як пам'ять,6
