word,clue,length
ЯВА,Найгустонаселеніший острів світу в Індонезії,3
СУМАТРА,Великий індонезійський острів,7
БОРНЕО,Третій за площею острів світу, поділений між трьома країнами,6
ЗАНЗІБАР,Прянощевий острів біля узбережжя Танзанії,8
БАРБАДОС,Острівна держава на сході Карибського моря,8
ТРИНІДАД,Острів біля узбережжя Венесуели,8
АРУБА,Невеликий карибський острів біля Венесуели,5
МАРТИНІКА,Французький острів у Карибському морі,9
ГВАДЕЛУПА,Французький архіпелаг у Карибському морі,9
ГУАМ,Тихоокеанський острів, територія США,4
ТАСМАНІЯ,Острів на південь від материкової Австралії,8
ХОНСЮ,Найбільший і головний острів Японії,5
КЮСЮ,Південний острів Японського архіпелагу,4
ХОККАЙДО,Північний острів Японського архіпелагу,8
ЛУЗОН,Найбільший острів Філіппін,5
МІНДАНАО,Другий за площею острів Філіппін,8
