word,clue,length
СЕРЖИК,Прикраса у вусі,6
КУЛОН,Підвіска на ланцюжку,5
БРОШКА,Прикраса, що кріпиться голкою до одягу,6
БРАСЛЕТ,Прикраса на зап'ясті,7
ПЕРСТЕНЬ,Прикраса на палець з каменем,8
ОБРУЧКА,Гладкий перстень на знак шлюбу,7
ДІАДЕМА,Урочиста прикраса на голову,7
ТІАРА,Коштовний головний убір монарха,5
АМУЛЕТ,Річ, що нібито захищає від лиха,6
МЕДАЛЬЙОН,Кругла підвіска з портретом чи символом,9
ЗАПОНКА,Прикраса для манжети сорочки,7
ШПИЛЬКА,Тонкий стрижень для волосся,7
ГРЕБІНЕЦЬ,Прикраса чи знаряддя для волосся,9
ЛАНЦЮЖОК,Низка дрібних з'єднаних ланок,8
НАМИСТО,Низка коралів чи перлин на шиї,7
