word,clue,length
БАЙКА,Коротке повчальне оповідання з тваринами-героями,5
ПРИКАЗКА,Стійкий образний вислів без повного речення,8
ПРИСЛІВЯ,Короткий повчальний народний вислів,8
ЛІЧИЛКА,Віршик для визначення, кому водити в грі,7
КОЛИСКОВА,Тиха пісня, що присипляє немовля,9
СКОРОМОВКА,Фраза, складна для швидкої вимови,10
ЗАГАДКА,Питання-головоломка з прихованою відповіддю,7
БАЙКАР,Автор повчальних оповідань про тварин,6
ІЛЮСТРАЦІЯ,Малюнок до тексту книги,10
ГЕРОЙ,Головна дійова особа твору,5
СЮЖЕТ,Послідовність подій у творі,5
АВТОР,Той, хто написав твір,5
ГЛАВА,Розділ книги,5
ЕПІЛОГ,Заключна частина твору,6
ПРОЛОГ,Вступна частина твору,6
