word,clue,length
ДЕКО,Плаский лист для випікання в духовці,4
ЖАРОВНЯ,Товстостінний посуд для смаження й тушкування,7
СОТЕЙНИК,Посуд середній між сковородою й каструлею,8
ВОК,Глибока азійська сковорода з випуклим дном,3
ПАРОВАРКА,Посуд для готування на парі,9
ФРИТЮРНИЦЯ,Прилад для смаження у великій кількості олії,10
СКОРОВАРКА,Каструля з герметичною кришкою для швидкого готування,10
КОМБАЙН,Кухонний прилад із багатьма насадками,7
ПІДСТАВКА,Річ під гарячий посуд, щоб не пошкодити стіл,9
ФАРТУХ,Одяг, що захищає від бризок під час готування,6
РУКАВИЦЯ,Захист для руки від гарячого посуду,8
ТРИМАЧ,Пристосування, щоб не обпекти пальці,6
ДОЗАТОР,Пристрій для відмірювання певної кількості,7
ЯЙЦЕВАРКА,Прилад для варіння яєць,9
ВАФЕЛЬНИЦЯ,Прилад для випікання хрустких коржиків із візерунком,10
КАВОВАРКА,Прилад для приготування бадьорого напою,9
ЧАЙНИК,Посуд для кип'ятіння води,6
ЗАВАРНИК,Посуд для настоювання чайного листя,8
ЦУКОРНИЦЯ,Посудина для солодкої приправи на столі,9
СІЛЬНИЦЯ,Посудина для приправи на столі,8
ПЕРЕЧНИЦЯ,Посудина для гострої мелений приправи на столі,9
ХЛІБНИЦЯ,Ємність для зберігання хліба,8
СЕРВЕТКА,Клапоть паперу чи тканини для витирання губ,8
СКАТЕРТИНА,Тканина, якою застеляють стіл,10
РІЗАННЯ,Подрібнення продукту ножем,7
НАРІЗКА,Продукт, порізаний на шматки,7
ШАТКУВАННЯ,Різання на тонкі смужки,10
ОЧИЩЕННЯ,Зняття шкірки з овоча чи фрукта,8
ЗБИВАННЯ,Перемішування до пишної маси,8
ЗАМІШУВАННЯ,Перемішування тіста руками,11
РОЗКОЧУВАННЯ,Розрівнювання тіста качалкою,12
ФАРШИРУВАННЯ,Наповнення страви начинкою,12
ПАНІРУВАННЯ,Обкачування продукту в сухарях перед смаженням,11
ГЛАЗУРУВАННЯ,Покриття страви блискучим шаром,12
ОХОЛОДЖЕННЯ,Зниження температури страви,11
КВАШЕННЯ,Заготівля овочів через бродіння,8
СОЛІННЯ,Заготівля овочів у розсолі,7
КОПЧЕННЯ,Обробка продукту димом для смаку й зберігання,8
СУШІННЯ,Видалення вологи для тривалого зберігання,7
