word,clue,length
ТЕРКА,Пристрій з отворами для подрібнення продуктів,5
СИТО,Пристрій з отворами для просіювання чи проціджування,4
ДУРШЛЯГ,Дірчаста посудина для зливання рідини з їжі,7
МІКСЕР,Пристрій для збивання чи змішування продуктів,6
БЛЕНДЕР,Пристрій для подрібнення продуктів у пюре,7
МУЛЬТИВАРКА,Пристрій, що готує їжу за програмами,11
СКОВОРІДКА,Плоский посуд з ручкою для смаження,10
КАЗАН,Великий круглий посуд для варіння великих обсягів їжі,5
ЧАВУНОК,Товстостінний посуд для тушкування,7
ФОРМА,Посудина для випікання певної форми,5
ЛОПАТКА,Плоский інструмент для перевертання їжі,7
ЧЕРПАК,Інструмент з довгою ручкою для розливання рідини,6
СКАЛКА,Циліндричний предмет для розкачування тіста,6
ДОШКА,Плоска поверхня для нарізання продуктів,5
НІЖ,Ріжучий інструмент з лезом і ручкою,3
