word,clue,length
ЛИЦАР,Озброєний вершник у важких обладунках,5
ЗАМОК,Укріплена резиденція феодала,5
ЗБРОЯ,Знаряддя для нападу чи захисту,5
ЩИТ,Захисне спорядження від ударів,3
МЕЧ,Довга гостра клинкова зброя,3
ШОЛОМ,Захисне спорядження для голови,5
КОЛЬЧУГА,Обладунок з металевих кілець,8
ЗБРОЄНОСЕЦЬ,Юнак, що допомагає лицарю з обладунками,11
ТУРНІР,Змагання лицарів на списах,6
ГЕРБ,Символічне зображення роду чи міста,4
ФЕОДАЛ,Землевласник середньовіччя,6
ВАСАЛ,Той, хто служить феодалу,5
РИЦАРСТВО,Стан благородних воїнів середньовіччя,9
КАТАПУЛЬТА,Метальна машина для облоги,10
ПІДЗЕМЕЛЛЯ,Прихований простір під замком,10
