word,clue,length
ВУЗОЛ,Переплетення мотузки для скріплення,5
ПЕТЛЯ,Замкнене коло з мотузки чи нитки,5
МОТУЗ,Скручені волокна для зв'язування,5
ШНУР,Тонка міцна плетена мотузка,4
ТРОС,Товстий сталевий канат,4
ЛАСО,Мотузка з петлею для лову тварин,4
ГАМАК,Підвісне полотнище для лежання,5
СІТКА,Плетене вироб з отворами,5
КАНАТ,Товста міцна мотузка,5
БЛОК,Колесо з жолобом для мотузки,4
ЛЕБІДКА,Пристрій для підняття вантажу тросом,7
ГАК,Зігнутий металевий стрижень для чіпляння,3
СТРОП,Ремінь чи трос для підняття вантажу,5
БУКСА,Пристрій для з'єднання деталей під навантаженням,5
ПЛЕТІННЯ,Спосіб з'єднання ниток чи стрічок,8
