word,clue,length
КАНЬЙОН,Глибока вузька долина з крутими схилами,7
СТАЛАКТИТ,Крижаний на вигляд наріст, що звисає зі стелі печери,9
СТАЛАГМІТ,Наріст, що росте вгору з дна печери,9
ГРОТ,Невелика мілка печера,4
ВОРОНКА,Заглиблення лійкоподібної форми в землі,7
КРАТЕР,Заглиблення на вершині вулкана чи від удару метеорита,6
ГЕЙЗЕР,Джерело, що періодично викидає гарячу воду й пару,6
СОЛОНЧАК,Рівнина з білою сіллю на поверхні,8
БАРХАН,Рухома піщана дюна серпоподібної форми,6
ДЮНА,Пагорб з піску, намитий вітром,4
МІРАЖ,Оманливе видіння в спекотній пустелі,5
УТЕС,Крутий кам'яний виступ над водою чи землею,4
ПЛАТО,Піднята рівнина з крутими схилами,5
МЕРЗЛОТА,Ґрунт, що не відтає роками,8
