word,clue,length
ЗАКОН,Обов'язкове правило, встановлене державою,5
КОНСТИТУЦІЯ,Основний закон держави,11
ПАРЛАМЕНТ,Законодавчий орган держави,9
УРЯД,Виконавчий орган державної влади,4
ПРЕЗИДЕНТ,Глава держави,9
КАБІНЕТ,Склад міністрів на чолі з прем'єром,7
МІНІСТЕРСТВО,Центральний орган виконавчої влади,12
ГРОМАДЯНИН,Особа, що належить до певної держави,10
ГРОМАДЯНСТВО,Правовий зв'язок особи з державою,12
ВИБОРИ,Процедура обрання посадовців голосуванням,6
ВИБОРЕЦЬ,Той, хто голосує на виборах,8
БЮЛЕТЕНЬ,Аркуш для позначення вибору на голосуванні,8
РЕФЕРЕНДУМ,Всенародне голосування щодо важливого питання,10
СУД,Орган, що вирішує спори за законом,3
ПРИСЯЖНИЙ,Пересічний громадянин, що вирішує вирок у суді,9
ВИРОК,Рішення суду у кримінальній справі,5
ПОЗОВ,Звернення до суду з вимогою,5
СВІДОК,Особа, що бачила подію й розповідає про неї,6
ДОКАЗ,Факт, що підтверджує чи спростовує твердження,5
ЗЛОЧИН,Серйозне порушення закону,6
ПОКАРАННЯ,Захід впливу за скоєний злочин,9
ШТРАФ,Грошове покарання за порушення,5
АМНІСТІЯ,Державне прощення покарання,8
ПОМИЛУВАННЯ,Особисте прощення покарання від глави держави,11
КОНТРАКТ,Письмова угода між сторонами,8
ДОГОВІР,Домовленість, що породжує права й обов'язки,7
ПРАВО,Загальновизнана можливість діяти певним чином,5
РІВНІСТЬ,Однакове ставлення до всіх перед законом,8
ОПОЗИЦІЯ,Політична сила, що не при владі,8
КОАЛІЦІЯ,Об'єднання політичних сил заради спільної мети,8
ПАРТІЯ,Політичне об'єднання однодумців,6
ФРАКЦІЯ,Група депутатів однієї партії в парламенті,7
ЛОБІЮВАННЯ,Просування інтересів через вплив на владу,10
ЦЕНЗУРА,Контроль влади над інформацією,7
КОРУПЦІЯ,Зловживання владою заради особистої вигоди,8
ХАБАР,Незаконна винагорода посадовцю,5
