word,clue,length
БІБЛІОТЕКА,Заклад для зберігання й видачі книг,10
ЧИТАЧ,Той, хто бере книги для читання,5
ФОРМУЛЯР,Картка обліку виданих книг,8
СТЕЛАЖ,Полиці для зберігання книг,6
ОБКЛАДИНКА,Тверда чи м'яка зовнішня частина книги,10
ЗМІСТ,Перелік розділів на початку книги,5
ЗАКЛАДКА,Смужка для позначення сторінки,8
ПАЛІТУРКА,Оправа книги,9
ВИДАВНИЦТВО,Установа, що готує книги до друку,11
ТИРАЖ,Кількість надрукованих примірників,5
КАТАЛОГ,Впорядкований перелік видань,7
АБЕТКА,Впорядкований перелік літер мови,6
ЕНЦИКЛОПЕДІЯ,Довідкове видання з різних галузей знань,12
РУКОПИС,Текст, написаний від руки автором,7
АРХІВ,Місце зберігання давніх документів,5
