word,clue,length
СВІЧКА,Стрижень воску з ґнотом, що дає світло,6
ЛІХТАР,Пристрій, що освітлює вулицю чи шлях,6
ФАКЕЛ,Палаючий стрижень для освітлення шляху,5
ЛАМПА,Пристрій для штучного освітлення,5
ПРОЖЕКТОР,Потужний спрямований джерело світла,9
ГАСНИК,Ковпачок для загасання свічки,6
ГНІТ,Шнур, що просякнутий воском і горить,4
ЛАМПАДА,Маленький масляний вогник перед іконою,7
ЛЮСТРА,Багатоярусний світильник під стелею,6
БРА,Настінний світильник,3
ТОРШЕР,Підлоговий світильник на високій ніжці,6
СВІТЛОДІОД,Енергоощадне напівпровідникове джерело сяйва,10
НІЧНИК,Слабкий світильник для сну,6
СПАЛАХ,Короткий яскравий вибух світла,6
ВОГНИК,Маленьке полум'я,6
