word,clue,length
СКЛАД,Приміщення для зберігання товарів,5
ВАНТАЖ,Товар, що перевозиться,6
ПОГРУЗКА,Розміщення вантажу в транспорт,8
ВИВАНТАЖЕННЯ,Знімання товару з транспорту,12
КОНТЕЙНЕР,Велика ємність для перевезення вантажу,9
ПІДДОН,Дерев'яна платформа для складування вантажу,6
НАКЛАДНА,Документ на перевезення товару,8
МИТНИЦЯ,Служба контролю на кордоні,7
ЕКСПЕДИТОР,Той, хто організовує перевезення вантажу,10
ВОДІЙ,Той, хто керує транспортним засобом,5
МАРШРУТ,Заздалегідь визначений шлях руху,7
ДОСТАВКА,Передача товару отримувачу,8
ЛОГІСТ,Фахівець з організації перевезень,6
ГАБАРИТ,Зовнішні розміри вантажу,7
ВАНТАЖІВКА,Транспортний засіб для перевезення товарів,10
