word,clue,length
ЄНОТ,Смугастий звір з "маскою" на морді,4
БАРСУК,Нічний звір з норами й смугастою мордою,6
ТХІР,Дрібний хижак з різким запахом,4
ГОРНОСТАЙ,Хутровий звір, білий взимку,9
ВИДРА,Водоплавний хижак з густим хутром,5
БОБЕР,Гризун, що будує греблі,5
ОНДАТРА,Водяний гризун з цінним хутром,7
СУРОК,Гризун, що впадає у сплячку в норі,5
БУРУНДУК,Смугастий деревний гризун,8
ТЮЛЕНЬ,Ластоногий морський ссавець,6
МОРЖ,Ластоногий з довгими іклами,4
ДЕЛЬФІН,Розумний морський ссавець,7
КИТ,Найбільший морський ссавець,3
НАРВАЛ,Кит з довгим рогом-бивнем,6
ЛАМА,В'ючна тварина Анд,4
