word,clue,length
ФУНКЦІЯ,Залежність однієї величини від іншої,7
НЕРІВНІСТЬ,Вислів зі знаком більше чи менше,10
ДРІБ,Число у вигляді частини цілого,4
ЧИСЕЛЬНИК,Верхня частина дробу,9
ЗНАМЕННИК,Нижня частина дробу,9
СУМА,Результат додавання,4
РІЗНИЦЯ,Результат віднімання,7
ДОБУТОК,Результат множення,7
ЧАСТКА,Результат ділення,6
СТЕПІНЬ,Число, помножене саме на себе кілька разів,7
ЛОГАРИФМ,Показник степеня для отримання числа,8
МНОЖНИК,Число, яке множать,7
ДІЛЬНИК,Число, на яке ділять,7
ОСТАЧА,Те, що лишається після ділення,6
МНОЖИНА,Сукупність окремих елементів,7
ПІДМНОЖИНА,Частина більшої сукупності елементів,10
ПЕРЕТИН,Спільна частина двох множин,7
ВІСЬ,Лінія відліку на графіку,4
КООРДИНАТА,Число, що визначає точку на осі,10
ПРЯМА,Лінія без початку й кінця,5
ВІДРІЗОК,Частина прямої між двома точками,8
БІСЕКТРИСА,Промінь, що ділить кут навпіл,10
МЕДІАНА,Відрізок від вершини до середини протилежної сторони,7
ГІПОТЕНУЗА,Найдовша сторона прямокутного трикутника,10
КАТЕТ,Сторона прямокутного трикутника біля прямого кута,5
СИНУС,Тригонометрична функція кута,5
КОСИНУС,Тригонометрична функція, суміжна із синусом,7
ТАНГЕНС,Відношення синуса до косинуса,7
КОТАНГЕНС,Відношення косинуса до синуса,9
РАДІУС,Відстань від центра кола до його межі,6
ДІАМЕТР,Подвоєний радіус,7
ХОРДА,Відрізок між двома точками кола,5
ДОТИЧНА,Пряма, що торкається кола в одній точці,7
СІЧНА,Пряма, що перетинає коло у двох точках,5
МАТРИЦЯ,Прямокутна таблиця чисел,7
ІНТЕГРАЛ,Дія, обернена до похідної,8
ПОХІДНА,Швидкість зміни функції,7
ГРАНИЦЯ,Значення, до якого прямує послідовність,7
ПАРАБОЛА,Крива у формі траєкторії кинутого м'яча,8
ЕЛІПС,Витягнуте коло,5
ПРОПОРЦІЯ,Рівність двох відношень,9
ЙМОВІРНІСТЬ,Міра можливості випадкової події,11
СЕРЕДНЄ,Сума чисел, поділена на їхню кількість,7
ДИСПЕРСІЯ,Міра розкиду значень навколо середнього,9
АРИФМЕТИКА,Наука про числа й дії над ними,10
