word,clue,length
ТЕРМОМЕТР,Прилад для вимірювання температури,9
БАРОМЕТР,Прилад для вимірювання тиску повітря,8
ВОЛОГОМІР,Прилад, що показує, наскільки сухе повітря,9
СПІДОМЕТР,Прилад для вимірювання швидкості руху,9
ВАГИ,Прилад для визначення маси предмета,4
ГОДИННИК,Прилад для визначення часу,8
ЛІНІЙКА,Планка з поділками для вимірювання довжини,7
КУТОМІР,Прилад для вимірювання кутів,7
СЕЙСМОГРАФ,Прилад для запису коливань земної кори,10
АЛЬТИМЕТР,Прилад для вимірювання висоти над рівнем моря,9
ОДОМЕТР,Прилад для підрахунку пройденої відстані,7
ХРОНОМЕТР,Точний прилад для вимірювання коротких проміжків часу,9
ДЕНСИМЕТР,Прилад для вимірювання густини рідини,9
АМПЕРМЕТР,Прилад для вимірювання сили струму,9
ВОЛЬТМЕТР,Прилад для вимірювання електричної напруги,9
