word,clue,length
ТОНОМЕТР,Прилад для вимірювання артеріального тиску,8
ГЛЮКОМЕТР,Прилад для вимірювання рівня цукру в крові,9
ІНГАЛЯТОР,Прилад для вдихання лікувальної пари чи аерозолю,9
КРАПЕЛЬНИЦЯ,Система для повільного введення розчину у вену,11
ВІЗОК,Крісло на колесах для пересування,5
НОСИЛКИ,Пристрій для перенесення хворого лежачи,7
БОРМАШИНА,Стоматологічний прилад для свердління зубів,9
ПЛОМБА,Матеріал, яким заповнюють отвір у зубі,6
БРЕКЕТИ,Система для вирівнювання зубів,7
ПРОТЕЗ,Штучна заміна втраченої частини тіла,6
РЕНТГЕН,Апарат для просвічування тіла променями,7
ТОМОГРАФ,Апарат для пошарового сканування тіла,8
УЗД,Метод дослідження органів звуковими хвилями,3
