word,clue,length
КОВАЛЬ,Майстер, що обробляє метал молотом,6
КОВАДЛО,Важка металева підставка для кування,7
МОЛОТ,Важкий ударний інструмент коваля,5
ГОРНО,Піч для розжарення металу,5
ЗВАРЮВАННЯ,З'єднання металевих деталей високою температурою,10
ЛИТТЯ,Виготовлення виробу з розплавленого металу,5
СПЛАВ,Суміш двох і більше металів,5
СТАЛЬ,Сплав заліза з вуглецем,5
ЧАВУН,Крихкий сплав заліза з високим вмістом вуглецю,5
БРОНЗА,Сплав міді з оловом,6
ЛАТУНЬ,Сплав міді з цинком,6
ІРЖА,Продукт окислення заліза,4
НАПИЛЬНИК,Інструмент для стирання металевих нерівностей,9
ЗУБИЛО,Інструмент для рубання металу,6
ЗАКЛЕПКА,Металевий стрижень для нероз'ємного з'єднання,8
