word,clue,length
АРМІЯ,Збройні сили держави,5
ВІЙСЬКО,Загальна назва збройних сил,7
ПІХОТА,Рід військ, що пересувається пішки,6
АРТИЛЕРІЯ,Рід військ з далекобійними гарматами,9
АВІАЦІЯ,Рід військ, що діє в повітрі,7
ФЛОТ,Сукупність бойових кораблів,4
ТАНК,Броньована бойова машина на гусеницях,4
БТР,Броньований колісний транспортер піхоти,3
ГАРМАТА,Знаряддя для стрільби великими снарядами,7
ГВИНТІВКА,Індивідуальна вогнепальна зброя піхотинця,9
АВТОМАТ,Скорострільна ручна вогнепальна зброя,7
ПІСТОЛЕТ,Коротка ручна вогнепальна зброя,8
КУЛЕМЕТ,Автоматична зброя для тривалої стрільби,7
СНАЙПЕР,Стрілець, що влучає з великої відстані,7
ГРАНАТА,Ручний вибуховий снаряд,7
БОМБА,Вибуховий снаряд для скидання чи закладання,5
МІНА,Прихований вибуховий пристрій,4
БРОНЕЖИЛЕТ,Захисний одяг від куль і осколків,10
ОКОП,Земляна траншея для укриття бійців,4
БЛІНДАЖ,Укріплене підземне укриття,7
БУНКЕР,Захищена підземна споруда,6
ШТАБ,Орган управління військовим підрозділом,4
КОМАНДИР,Керівник військового підрозділу,8
СЕРЖАНТ,Молодший командний склад,7
ЛЕЙТЕНАНТ,Молодший офіцерський чин,9
ПОЛКОВНИК,Старший офіцерський чин,9
МАРШАЛ,Найвище військове звання,6
РОЗВІДКА,Збір відомостей про супротивника,8
ЗАСІДКА,Раптовий напад із укриття,7
НАСТУП,Активні бойові дії для просування вперед,6
ОБОРОНА,Дії для утримання позицій,7
ВІДСТУП,Організоване залишення позицій,7
ОТОЧЕННЯ,Блокування супротивника з усіх боків,8
КАПІТУЛЯЦІЯ,Офіційне визнання поразки й здача,11
МОБІЛІЗАЦІЯ,Призов громадян на військову службу,11
ПРИЗОВНИК,Особа, що підлягає військовому набору,9
ПОРАНЕННЯ,Тілесне ушкодження від зброї,9
ГОСПІТАЛЬ,Заклад для лікування поранених,9
УНІФОРМА,Формений однаковий одяг військових,8
ПОГОН,Знак розрізнення звання на плечі,5
ОРДЕН,Нагорода за визначні заслуги,5
