word,clue,length
ДІАМАНТ,Найтвердіший з коштовних каменів,7
АЛМАЗ,Необроблена форма найтвердішого мінералу,5
РУБІН,Червоний коштовний камінь,5
САПФІР,Синій коштовний камінь,6
СМАРАГД,Зелений коштовний камінь,7
ТОПАЗ,Жовтий чи блакитний напівкоштовний камінь,5
АМЕТИСТ,Фіолетовий різновид кварцу,7
ОПАЛ,Камінь, що переливається всіма кольорами,4
ПЕРЛИНА,Куля, що утворюється всередині мушлі,7
БУРШТИН,Скам'яніла смола хвойних дерев,7
ЯШМА,Непрозорий строкатий камінь для оздоблення,4
АГАТ,Смугастий напівпрозорий камінь,4
ОНІКС,Камінь із паралельними смужками різних відтінків,5
МАЛАХІТ,Зелений камінь із візерунком кілець,7
ГРАНАТ,Темно-червоний коштовний камінь,6
ХРИЗОЛІТ,Оливково-зелений напівкоштовний камінь,8
ТУРМАЛІН,Камінь, що трапляється в різних кольорах,8
ЦИРКОН,Мінерал, схожий блиском на діамант,6
КВАРЦ,Дуже поширений твердий мінерал,5
КРИШТАЛЬ,Прозорий блискучий різновид кварцу,8
СЛЮДА,Мінерал, що розшаровується на тонкі пластинки,5
ГРАФІТ,М'який чорний мінерал для олівців,6
ВАПНЯК,Осадова гірська порода з решток мушель,6
ПІСКОВИК,Порода зі скріплених піщинок,8
БАЗАЛЬТ,Темна вулканічна гірська порода,7
ГНЕЙС,Смугаста метаморфічна гірська порода,5
СЛАНЕЦЬ,Порода, що легко розколюється на пластини,7
ПЕМЗА,Легка пориста вулканічна порода,5
МАГМА,Розплавлена порода в надрах Землі,5
РУДА,Порода з корисним вмістом металу,4
РОДОВИЩЕ,Місце природного скупчення корисної копалини,8
ШАХТА,Підземна виробка для видобутку копалин,5
ШТОЛЬНЯ,Горизонтальний прохід у шахті,7
САМОЦВІТ,Загальна назва дорогого блискучого каменя,8
ОГРАНКА,Різання каменя на грані для гри світла,7
КАРАТ,Одиниця маси дорогоцінного каменя,5
