word,clue,length
БІЖУТЕРІЯ,Недорогі прикраси не з дорогоцінних металів,9
СВІТИЛЬНИК,Прилад штучного освітлення,10
ЛУПА,Збільшувальне скло для розглядання дрібниць,4
БІНОКЛЬ,Оптичний прилад для розглядання далеких об'єктів,7
ПОРТФЕЛЬ,Сумка для документів чи навчальних речей,8
ГАМАК,Підвісне полотнище для лежання й відпочинку,5
НАМЕТ,Переносне тканинне житло для походу,5
СПАЛЬНИК,Утеплений мішок для сну в поході,8
БАГАТТЯ,Вогонь, розкладений просто неба,7
ВОГНИЩЕ,Місце для розведення багаття,7
ПОХІД,Подорож пішки з наметом і рюкзаком,5
ТУРИСТ,Той, хто подорожує заради відпочинку,6
МАНДРІВНИК,Той, хто багато подорожує,10
КУРОРТ,Місце для оздоровчого відпочинку,6
ПЛЯЖ,Смуга суходолу біля води для відпочинку,4
ШЕЗЛОНГ,Розкладний лежак для відпочинку,7
ПАСПОРТ,Документ, що посвідчує особу для подорожей,7
ВІЗА,Дозвіл на в'їзд до іншої країни,4
МИТНИЦЯ,Служба контролю на кордоні,7
ВАЛЮТА,Грошова одиниця іншої країни,6
СУВЕНІР,Пам'ятна річ із подорожі,7
ЕКСКУРСІЯ,Організована подорож з оглядом визначних місць,9
