word,clue,length
ГРОШІ,Загальний засіб оплати товарів і послуг,5
ГРИВНЯ,Грошова одиниця України,6
ДОЛАР,Грошова одиниця США,5
ЄВРО,Спільна валюта більшості країн ЄС,4
ФУНТ,Грошова одиниця Великої Британії,4
ЄНА,Грошова одиниця Японії,3
ЮАНЬ,Грошова одиниця Китаю,4
МОНЕТА,Металевий грошовий знак,6
БАНКНОТА,Паперовий грошовий знак,8
КОШТОРИС,Розрахунок майбутніх витрат,8
БЮДЖЕТ,План доходів і видатків,6
ДОХІД,Гроші, отримані за певний період,5
ВИТРАТА,Гроші, витрачені на щось,7
ПРИБУТОК,Різниця між доходом і витратами на користь,8
ЗБИТОК,Втрата грошей замість прибутку,6
БОРГ,Гроші, які треба повернути іншому,4
КРЕДИТ,Позика під відсотки на певний строк,6
ІПОТЕКА,Кредит на купівлю житла під заставу,7
ВІДСОТОК,Плата за користування чужими грошима,8
ВКЛАД,Гроші, розміщені в банку під відсотки,5
ЗАОЩАДЖЕННЯ,Відкладені про запас гроші,11
ІНФЛЯЦІЯ,Знецінення грошей із часом,8
КУРС,Співвідношення обміну однієї валюти на іншу,4
БІРЖА,Місце торгівлі цінними паперами,5
АКЦІЯ,Цінний папір частки у власності компанії,5
ОБЛІГАЦІЯ,Цінний папір боргового зобов'язання,9
ДИВІДЕНД,Частина прибутку компанії акціонеру,8
ПОДАТОК,Обов'язковий платіж на користь держави,7
МИТО,Податок на товари при перетині кордону,4
ЗАРПЛАТА,Оплата праці найманого працівника,8
ПЕНСІЯ,Регулярна виплата особі похилого віку,6
СТИПЕНДІЯ,Регулярна виплата студенту на навчання,9
ЗНИЖКА,Зменшення ціни товару,6
НАДБАВКА,Додаткова сума до основної оплати,8
ЦІНА,Грошовий вираз вартості товару,4
ВАРТІСТЬ,Кількість грошей, потрібна для придбання,8
РИНОК,Місце обміну товарів і послуг за гроші,5
ТОРГІВЛЯ,Обмін товарами заради вигоди,8
УГОДА,Домовленість між сторонами про умови обміну,5
ІНВЕСТИЦІЯ,Вкладення грошей заради майбутнього прибутку,10
КАПІТАЛ,Накопичене майно чи гроші для справи,7
БАНКРУТСТВО,Стан нездатності сплатити борги,11
АУДИТ,Перевірка фінансової звітності,5
БУХГАЛТЕРІЯ,Облік доходів і витрат підприємства,11
