word,clue,length
МІСЯЦЬ,Природний супутник Землі,6
ФАЗА,Стан видимої частини освітленого супутника,4
ПОВНЯ,Фаза, коли супутник Землі повністю освітлений,5
МОЛОДИК,Фаза, коли супутник Землі майже не видно,7
ЗАТЕМНЕННЯ,Закриття одного світила іншим,10
КРАТЕР,Округла заглибина від удару метеорита,6
МОРЕ,Темна рівнина на поверхні супутника Землі,4
ПРИЛИВ,Підняття рівня моря під впливом гравітації,6
ГРАВІТАЦІЯ,Сила взаємного притягання тіл,10
ОРБІТА,Траєкторія руху тіла навколо іншого,6
ВИТОК,Один повний оберт навколо небесного тіла,5
АПОГЕЙ,Найвіддаленіша точка орбіти від Землі,6
ПЕРИГЕЙ,Найближча точка орбіти до Землі,7
РЕГОЛІТ,Пилоподібний шар на поверхні супутника,7
ПОСАДКА,Спуск апарата на поверхню,7
