word,clue,length
СНІЖНИЙ,Барс ..., рідкісний гірський хижак з довгим хвостом,7
ГІРСЬКИЙ,Козел ..., спритний скельний лазун з рогами,8
СЕРНА,Спритна гірська тварина з невеликими рогами,5
МУФЛОН,Дикий гірський баран,6
ГРИФ,Великий хижий птах-падальник гір,4
ОРЕЛ,Великий хижий птах з гострим зором на скелях,4
БЕРКУТ,Один з найбільших гірських орлів,6
ТУР,Дикий гірський бик з великими рогами,3
ЛАМА,В'ючна гірська тварина Анд,4
АЛЬПАКА,Тварина Анд з цінною вовною,7
ГІРСЬКА,Куріпка ..., пташка кам'янистих схилів,7
БАРС,Плямистий гірський хижак з довгим хвостом,4
ШИНШИЛА,Дрібний гризун з надзвичайно густим хутром гір Анд,7
СУРОК,Гризун, що впадає у сплячку в гірській норі,5
БІЛОГОЛОВИЙ,Сип ..., великий хижий птах-падальник,10
