word,clue,length
АЛЬПІНІСТ,Той, хто підкорює гірські вершини,9
ВЕРШИНА,Найвища точка гори,7
СХИЛ,Похила поверхня гори,4
УЩЕЛИНА,Глибокий вузький прохід між скелями,7
ЛЬОДОВИК,Величезна маса льоду в горах,8
ЛАВИНА,Стрімкий сповз снігу зі схилу,6
СКЕЛЯ,Крутий кам'яний виступ,5
ПЕЧЕРА,Порожнина в товщі гори чи землі,6
МОТУЗКА,Знаряддя альпініста для страховки,7
КАРАБІН,Металева застібка для страховки,7
ГІРКА,Хвороба ..., реакція організму на висоту,5
БАЗОВИЙ,Табір ... біля підніжжя гори,7
ПРІРВА,Глибока безодня між скелями,6
КРИЖАНИЙ,Той, що складається з льоду,8
ВИСОТА,Відстань від підошви до вершини,6
