word,clue,length
СЦЕНАРІЙ,Текстова основа фільму з діалогами,8
ТИТРИ,Текст з іменами творців у кінці фільму,5
ДУБЛЯЖ,Заміна оригінального голосу іншою мовою,6
СУБТИТРИ,Перекладений текст внизу екрана,8
КАСКАДЕР,Той, хто виконує небезпечні трюки замість актора,8
ПРОДЮСЕР,Той, хто фінансує й організовує зйомки,8
ОПЕРАТОР,Той, хто керує камерою під час зйомки,8
МОНТАЖ,Складання окремих кадрів у цілісний фільм,6
КІНОТЕАТР,Приміщення для перегляду фільмів,9
БОЙОВИК,Фільм з погонями й бійками,7
ТРИЛЕР,Фільм, що тримає в напрузі,6
МЮЗИКЛ,Фільм чи вистава з піснями й танцями,6
АНІМАЦІЯ,Фільм, створений намальованими чи об'ємними кадрами,8
ПРЕМЄРА,Перший публічний показ фільму,7
РЕЙТИНГ,Оцінка популярності чи якості фільму,7
