word,clue,length
ГРИБ,Організм із шапинкою й ніжкою, що росте в лісі,4
МАСЛЮК,Гриб зі слизькою блискучою шапинкою,6
ОПЕНЬОК,Дрібний гриб, що росте купками на пеньках,7
ЛИСИЧКА,Помаранчевий гриб лійкоподібної форми,7
ПЕЧЕРИЦЯ,Найпоширеніший культивований гриб у магазині,8
ГЛИВА,Гриб, що росте на стовбурах дерев боком,5
СИРОЇЖКА,Крихкий гриб із яскравою шапинкою,8
ГРУЗДЬ,Гриб з молочним соком і лійкоподібною шапинкою,6
ПОГАНКА,Отруйний гриб, схожий на їстівний,7
МУХОМОР,Отруйний гриб з червоною шапинкою й білими цятками,7
ПЛІСНЯВА,Грибковий наліт на зіпсованій їжі,8
СПОРА,Клітина розмноження грибів і рослин без насіння,5
ГРИБНИЦЯ,Підземна мережа ниток гриба,8
ШАПИНКА,Верхня частина гриба,7
НІЖКА,Стовбурець, на якому тримається шапинка гриба,5
