word,clue,length
ПІАНІНО,Клавішний інструмент для дому,7
РОЯЛЬ,Великий концертний клавішний інструмент,5
СКРИПКА,Струнний смичковий інструмент з високим звучанням,7
АЛЬТ,Струнний смичковий інструмент, більший за скрипку,4
ВІОЛОНЧЕЛЬ,Великий струнний смичковий інструмент,10
КОНТРАБАС,Найбільший і найнижчий струнний смичковий інструмент,9
ГІТАРА,Струнний щипковий інструмент із корпусом та грифом,6
УКУЛЕЛЕ,Маленька гавайська гітара з чотирма струнами,7
МАНДОЛІНА,Струнний щипковий інструмент з округлим корпусом,9
БАНДЖО,Струнний інструмент із мембранним корпусом,6
АРФА,Великий струнний інструмент, на якому грають, перебираючи пальцями,4
ФЛЕЙТА,Духовий інструмент, у який дмуть збоку,6
КЛАРНЕТ,Дерев'яний духовий інструмент з тростинкою,7
ГОБОЙ,Духовий інструмент з подвійною тростинкою,5
ФАГОТ,Низький дерев'яний духовий інструмент,5
САКСОФОН,Мідний духовий інструмент з тростинкою,8
ТРОМБОН,Духовий інструмент з висувною кулісою,7
ТУБА,Найбільший і найнижчий мідний духовий інструмент,4
ВАЛТОРНА,Мідний духовий інструмент у формі кільця,8
БАРАБАН,Ударний інструмент із натягнутою шкірою,7
ЛИТАВРИ,Великі ударні інструменти у формі казанів,7
КСИЛОФОН,Ударний інструмент із дерев'яних пластин,8
МАРИМБА,Різновид ксилофона з резонаторними трубками,7
ОРГАН,Клавішний духовий інструмент із трубами,5
КЛАВЕСИН,Клавішний інструмент, попередник фортепіано,8
СИНТЕЗАТОР,Електронний клавішний інструмент,10
АКОРДЕОН,Клавішно-духовий інструмент з міхами,8
БАЯН,Різновид гармоні з ґудзиковою клавіатурою,4
ГОНГ,Ударний інструмент у формі металевого диска,4
ДЗВІН,Металевий інструмент, що гуде від удару язика,5
РОК,Гучний жанр з електрогітарами та бунтарським духом,3
ПОП,Найбільш масовий і легкий для сприйняття жанр,3
ДЖАЗ,Імпровізаційний жанр, що виник у Новому Орлеані,4
БЛЮЗ,Меланхолійний жанр афроамериканського походження,4
РЕГГІ,Ямайський жанр з характерним синкопованим ритмом,5
РЕП,Ритмічне промовляння тексту під бит,3
ПАНК,Бунтарський жанр з простими акордами й енергією,4
МЕТАЛ,Важкий жанр з перевантаженими гітарами,5
ТЕХНО,Електронний танцювальний жанр з машинним ритмом,5
ДИСКО,Танцювальний жанр сімдесятих із мерехтливою кулею,5
СОУЛ,Емоційний афроамериканський жанр,4
ФОЛК,Жанр, що спирається на народні мотиви,4
КАНТРІ,Американський жанр із гітарою й ковбойськими мотивами,6
ОПЕРА,Театральний твір, де все співається,5
ОПЕРЕТА,Легкий музично-театральний жанр з розмовними діалогами,7
РОМАНС,Ліричний твір про кохання під акомпанемент,6
ШАНСОН,Французький пісенний жанр з наголосом на текст,6
СВІНГ,Джазовий стиль з розгойданим ритмом,5
ЕЛЕКТРОНІКА,Музика, створена за допомогою електронних приладів,11
КОМПОЗИТОР,Той, хто створює музичні твори,10
ДИРИГЕНТ,Той, хто керує оркестром чи хором,8
СОЛІСТ,Виконавець головної партії,6
ВОКАЛІСТ,Співак у гурті чи оркестрі,8
МУЗИКАНТ,Той, хто грає на інструменті,8
ОРКЕСТР,Великий колектив музикантів-інструменталістів,7
ХОР,Колектив співаків,3
ГУРТ,Невеликий музичний колектив,4
АНСАМБЛЬ,Злагоджений колектив виконавців,8
ВИКОНАВЕЦЬ,Той, хто представляє твір публіці,10
АКОМПАНІАТОР,Той, хто супроводжує соліста на інструменті,12
ЗВУКОРЕЖИСЕР,Той, хто керує якістю запису й трансляції звуку,12
МЕЛОДІЯ,Послідовність звуків, що складає музичну думку,7
ГАРМОНІЯ,Узгоджене поєднання звуків,8
ТЕМП,Швидкість виконання музичного твору,4
ТОНАЛЬНІСТЬ,Лад, у якому написаний твір,11
АКОРД,Одночасне звучання кількох нот,5
НОТА,Знак для запису висоти звуку,4
ГАМА,Послідовність звуків від нижчого до вищого,4
ОКТАВА,Інтервал у вісім ступенів,6
ТЕМБР,Забарвлення звуку, що вирізняє голос чи інструмент,5
ПАРТИТУРА,Повний нотний запис твору для всіх партій,9
УВЕРТЮРА,Оркестровий вступ до великого твору,8
СИМФОНІЯ,Великий оркестровий твір із кількох частин,8
СОНАТА,Інструментальний твір для одного-двох виконавців,6
КОНЦЕРТ,Публічний виступ музикантів,7
КАНТАТА,Великий вокально-оркестровий твір,7
ОРАТОРІЯ,Масштабний вокально-оркестровий твір на біблійний сюжет,8
РЕКВІЄМ,Заупокійний вокально-оркестровий твір,7
СЕРЕНАДА,Вечірня пісня на честь коханої,8
КОЛИСКОВА,Тиха пісня, що присипляє дитину,9
ПРИСПІВ,Повторювана частина пісні між куплетами,7
КУПЛЕТ,Окрема строфа пісні,6
РЕФРЕН,Рядок, що повторюється в кожному куплеті,6
ЗАСПІВ,Початкова частина народної пісні,6
КОДА,Завершальна частина музичного твору,4
ІМПРОВІЗАЦІЯ,Виконання, вигадане без попередньої підготовки,12
АРАНЖУВАННЯ,Обробка мелодії для нового складу виконавців,11
РЕМІКС,Перероблена версія вже наявного твору,6
ДУЕТ,Виконання удвох,4
ТРІО,Виконання втрьох,4
КВАРТЕТ,Виконання вчотирьох,7
КВІНТЕТ,Виконання вп'ятьох,7
СОЛО,Виступ одного виконавця без супроводу,4
АКАПЕЛА,Спів без інструментального супроводу,7
ФАЛЬЦЕТ,Високий штучний регістр чоловічого голосу,7
ВІБРАТО,Легке коливання висоти звуку під час виконання,7
НАВУШНИКИ,Пристрій для прослуховування звуку наодинці,9
КОЛОНКА,Пристрій, що відтворює звук у приміщенні,7
ПІДСИЛЮВАЧ,Пристрій, що збільшує потужність звукового сигналу,10
КЛАВІША,Кнопка на піаніно чи синтезаторі,7
