word,clue,length
БАЛАЛАЙКА,Триструнний трикутний народний інструмент,9
ЦИТРА,Плаский струнний інструмент, що кладуть на коліна,5
ЛЮТНЯ,Старовинний струнний щипковий інструмент з грушоподібним корпусом,5
ВОЛИНКА,Духовий інструмент із хутром і трубками,7
ОКАРИНА,Невеликий духовий інструмент яйцеподібної форми,7
ДРИМБА,Крихітний металевий інструмент, що затискають зубами,6
ГАРМОНІКА,Невеликий духовий інструмент з металевими язичками,9
ТАРІЛКИ,Пара металевих дисків, якими б'ють одна об одну,7
БУБОН,Ударний інструмент з мембраною й дзвіночками по обручу,5
КАСТАНЬЄТИ,Дерев'яні пластинки, якими клацають в іспанському танці,10
ЧЕЛЕСТА,Клавішний інструмент з дзвоноподібним звуком,7
ФІСГАРМОНІЯ,Клавішний інструмент з міхами, схожий на невеликий орган,11
ПОЛЬКА,Жвавий чеський парний танець на два чверті,6
ЧЕЧІТКА,Танець, у якому ритм відбивають підборами,7
КОЗАЧОК,Швидкий український народний танець,7
ГУЦУЛКА,Карпатський народний танець,7
ЛЕЗГИНКА,Стрімкий кавказький танець з вигинами рук,8
ПОЛОНЕЗ,Урочистий польський танець-хода,7
МЕНУЕТ,Плавний придворний танець вісімнадцятого століття,6
МАЗУРКА,Швидкий польський танець із притупуванням,7
ЧАРЛЬСТОН,Енергійний танець двадцятих років двадцятого століття,9
ХАСТЛ,Клубний парний танець під диско,5
