word,clue,length
ОСІРІС,Єгипетський бог загробного світу,6
ІЗІДА,Єгипетська богиня магії й материнства,5
ГОР,Єгипетський бог неба із соколиною головою,3
АНУБІС,Єгипетський бог мертвих із шакалячою головою,6
СЕТ,Єгипетський бог хаосу й пустелі,3
ТОТ,Єгипетський бог мудрості й письма,3
ФАРАОН,Титул правителя Стародавнього Єгипту,6
МУМІЯ,Забальзамоване тіло померлого,5
САРКОФАГ,Кам'яна чи дерев'яна труна фараона,8
ОДІН,Верховний скандинавський бог мудрості й війни,4
ТОР,Бог грому з чарівним молотом,3
ЛОКІ,Хитрий бог обману й пожеж,4
ФРЕЙЯ,Богиня кохання й краси у скандинавів,5
ФРЕЙР,Бог родючості й урожаю у скандинавів,5
БАЛЬДР,Світлий бог, чия смерть віщує кінець світу,6
ВАЛЬКІРІЯ,Войовнича діва, що обирає полеглих героїв,9
АСГАРД,Небесна оселя скандинавських богів,6
ВАЛЬГАЛЛА,Чертог для полеглих у бою воїнів,9
ЙОТУН,Велетень із скандинавських міфів,5
ФЕНРІР,Величезний вовк зі скандинавських міфів,6
