word,clue,length
МАНІКЮР,Догляд за нігтями рук,7
ПЕДИКЮР,Догляд за нігтями ніг,7
ПІЛКА,Інструмент для обробки нігтя,5
ЛАК,Кольорове покриття для нігтя,3
ПОМАДА,Косметика для губ,6
ТУШ,Косметика для вій,3
РУМЯНА,Косметика для щік,6
ТІНІ,Косметика для повік,4
ПУДРА,Косметика для матування шкіри обличчя,5
ТОНАЛЬНИЙ,Крем ..., що вирівнює тон шкіри,9
КОНСИЛЕР,Засіб для маскування недоліків шкіри,8
ПІНЦЕТ,Інструмент для видалення волосків,6
ДЗЕРКАЛО,Поверхня, що відбиває зображення,8
ГУБКА,Пориста м'яка річ для нанесення косметики,5
ПЕНЗЛИК,Тонкий інструмент для нанесення макіяжу,7
