word,clue,length
ЩОГЛА,Вертикальна опора для вітрил,5
ВІТРИЛО,Полотнище, що ловить вітер,7
ЯКІР,Важкий гак, що утримує судно на місці,4
ПАЛУБА,Горизонтальний настил на кораблі,6
ТРЮМ,Внутрішній простір під палубою,4
КАЮТА,Кімната для проживання на судні,5
ШТУРВАЛ,Колесо для керування кораблем,7
КОРМА,Задня частина судна,5
НІС,Передня частина судна,3
БОРТ,Бічна стінка судна,4
КАПІТАН,Головна особа на кораблі,7
МАТРОС,Рядовий член команди судна,6
БУКСИР,Судно, що тягне інші кораблі,6
МАЯК,Вежа зі світлом для орієнтації суден,4
ПРИЧАЛ,Місце для швартування судна,6
