word,clue,length
ДРУГИЙ,Порядковий номер після першого,6
ТРЕТІЙ,Порядковий номер після другого,6
ЧЕТВЕРТИЙ,Порядковий номер після третього,9
ШОСТИЙ,Порядковий номер після п'ятого,6
СЬОМИЙ,Порядковий номер після шостого,6
ВОСЬМИЙ,Порядковий номер після сьомого,7
ОДИНАДЦЯТЬ,Число після десяти,10
ДВАНАДЦЯТЬ,Число після одинадцяти,10
ТРИНАДЦЯТЬ,Число після дванадцяти,10
ЧОТИРНАДЦЯТЬ,Число після тринадцяти,12
ШІСТНАДЦЯТЬ,Число після п'ятнадцяти,11
СІМНАДЦЯТЬ,Число після шістнадцяти,10
ВІСІМНАДЦЯТЬ,Число після сімнадцяти,12
ДВАДЦЯТЬ,Число після дев'ятнадцяти,8
ТРИДЦЯТЬ,Число після двадцяти дев'яти,8
СОРОК,Число після тридцяти дев'яти,5
ПЯТДЕСЯТ,Число після сорока дев'яти,8
ШІСТДЕСЯТ,Число після п'ятдесяти дев'яти,9
СІМДЕСЯТ,Число після шістдесяти дев'яти,8
ВІСІМДЕСЯТ,Число після сімдесяти дев'яти,10
ДЕВЯНОСТО,Число після вісімдесяти дев'яти,9
ТРИЛЬЙОН,Тисяча мільярдів,8
