word,clue,length
ГОРІХ,Плід з твердою шкаралупою й ядром,5
ЛІЩИНА,Кущ з дрібними горіхами,6
МИГДАЛЬ,Довгастий солодкий горіх,7
ФУНДУК,Круглий лісовий горіх,6
КЕДР,Дерево з поживними горішками в шишці,4
КАШТАН,Блискучий коричневий плід дерева,6
ЖОЛУДЬ,Плід дуба,6
ЧОРНИЦЯ,Дрібна темно-синя лісова ягода,7
БРУСНИЦЯ,Кисла червона ягода лісу,8
КАЛИНА,Символічний кущ з червоними гіркими ягодами,6
ОБЛІПИХА,Оранжева кисла вітамінна ягода,8
ГЛІД,Кущ з дрібними червоними плодами,4
ШИПШИНА,Дикий колючий кущ з вітамінними плодами,7
ЄЖЕВИКА,Темна колюча лісова ягода,7
ЖУРАВЛИНА,Кисла болотна ягода,9
