word,clue,length
ОКЕАН,Найбільша водна маса на Землі,5
МОРЕ,Частина океану, оточена сушею,4
ЗАТОКА,Частина водойми, що вдається в сушу,6
ПРОТОКА,Вузький водний прохід між двома ділянками суші,7
РИФ,Підводна кам'яна чи коралова гряда,3
АТОЛ,Кільцеподібний коралів острів,4
ШЕЛЬФ,Мілководна прибережна частина океану,5
ЗАПАДИНА,Найглибша частина океанічного дна,8
ПРИПЛИВ,Періодичне підняття рівня моря,7
ВІДПЛИВ,Періодичне зниження рівня моря,7
ЦУНАМІ,Величезна руйнівна хвиля від підводного поштовху,6
ТЕЧІЯ,Постійний рух водних мас в одному напрямку,5
СОЛОНІСТЬ,Вміст солей у морській воді,9
ПЛАНКТОН,Дрібні організми, що дрейфують у товщі води,8
БАТИСКАФ,Апарат для занурення на велику глибину,8
