word,clue,length
ЗАКЛАДКА,Смужка паперу для позначення сторінки,8
ОБКЛАДИНКА,Тверда чи м'яка сторона книжки зовні,10
КОРІНЕЦЬ,Бічна частина книжки, де скріплені сторінки,8
СТОРІНКА,Один аркуш книжки чи зошита,8
ЗМІСТ,Перелік розділів на початку книги,5
ПЕРЕДМОВА,Вступне звернення автора до читача на початку книги,9
ПІСЛЯМОВА,Заключне звернення автора наприкінці книги,9
ВИДАННЯ,Один тираж друкованої книги,7
НАКЛАД,Кількість надрукованих примірників,6
ТИРАЖ,Загальна кількість випущених копій,5
ФОРМУЛЯР,Картка обліку виданої книги в бібліотеці,8
АБОНЕМЕНТ,Право на регулярне користування послугою,9
ЧИТАЛЬНЯ,Зал для роботи з книгами на місці,8
КАТАЛОГ,Впорядкований перелік із пошуковими даними,7
ІНДЕКС,Покажчик чи умовне число для класифікації,6
ШИФР,Умовний код для позначення чогось,4
ШТАМП,Відбиток офіційного знака на документі,5
СКОБА,Металевий затискач для аркушів,5
