word,clue,length
ПРИНТЕР,Пристрій для друку документів,7
СКАНЕР,Пристрій для оцифрування зображень,6
СТЕПЛЕР,Пристрій для скріплення аркушів скобами,7
ДИРОКОЛ,Пристрій для пробивання отворів у папері,7
ПАПКА,Обкладинка для зберігання документів,5
СКОРОШИВАЧ,Затискач для скріплення аркушів у папці,10
КАЛЬКУЛЯТОР,Пристрій для обчислень,11
БЛОКНОТ,Невеликий зошит для нотаток,7
МАРКЕР,Товстий фломастер для виділення тексту,6
СКОТЧ,Липка стрічка для склеювання,5
КНОПКА,Дрібний цвях з широкою голівкою,6
ШАФА,Меблі для зберігання документів чи одягу,4
НАРАДА,Ділова зустріч для обговорення питань,6
ПРЕЗЕНТАЦІЯ,Публічний виступ з демонстрацією матеріалу,11
СЕКРЕТАР,Той, хто веде діловодство керівника,8
