word,clue,length
ГРАМОФОН,Старовинний пристрій для відтворення звуку з платівки,8
ПАТЕФОН,Портативний механічний програвач платівок,7
ПЛАТІВКА,Круглий диск із записаним звуком для програвача,8
МАГНІТОФОН,Пристрій для запису й відтворення звуку на плівці,10
КАСЕТА,Компактна коробка зі звуковою плівкою,6
ДИСКЕТА,Гнучкий магнітний носій даних для комп'ютера,7
ПЕЙДЖЕР,Пристрій для отримання коротких текстових повідомлень,7
ТЕЛЕГРАФ,Пристрій для передачі повідомлень на відстань дротом,8
ДИСКОВОД,Пристрій для читання дисків комп'ютером,8
ПРОЕКТОР,Пристрій, що відображає зображення на екрані,8
ДІАПРОЕКТОР,Пристрій для показу слайдів на екрані,10
ПИШУЧА,Машинка ..., механічний пристрій для друку тексту,6
КАЛЬКУЛЯТОР,Пристрій для обчислень,11
РАДІОПРИЙМАЧ,Пристрій, що ловить далекі ефірні хвилі,12
ТЕЛЕВІЗОР,Пристрій для прийому й показу відеосигналу,9
