word,clue,length
ОЛІМПІАДА,Найбільші міжнародні спортивні змагання,9
ФАКЕЛ,Символ вогню, який несуть до церемонії відкриття,5
ЧЕМПІОН,Той, хто посів перше місце,7
ФІНАЛ,Вирішальний завершальний етап змагань,5
РЕКОРД,Найкращий досягнутий результат,6
СУДДЯ,Той, хто оцінює правильність виступу,5
СТАДІОН,Споруда для проведення змагань,7
ПЄДЕСТАЛ,Підвищення для нагородження переможців,9
МЕДАЛЬ,Нагорода у вигляді металевого диска,6
ЕСТАФЕТА,Командна гонка з передачею предмета,8
МАРАФОН,Найдовша бігова дистанція,7
СПРИНТ,Коротка швидкісна бігова дистанція,6
ДОПІНГ,Заборонена речовина для покращення результату,6
ТРЕНУВАННЯ,Регулярна підготовка спортсмена,10
УБОЛІВАЛЬНИК,Той, хто вболіває за спортсмена,12
