word,clue,length
ОПТИМІСТ,Той, хто завжди бачить хороше в майбутньому,8
ПЕСИМІСТ,Той, хто завжди чекає гіршого,8
РЕАЛІСТ,Той, хто дивиться на речі тверезо,7
ІДЕАЛІСТ,Той, хто прагне досконалості всупереч дійсності,8
ЕГОЇСТ,Той, хто дбає лише про себе,6
АЛЬТРУЇСТ,Той, хто дбає передусім про інших,9
ІНТРОВЕРТ,Той, кому комфортніше на самоті,9
ЕКСТРАВЕРТ,Той, кого надихає товариство інших,10
БУНТАР,Той, хто йде проти встановлених правил,6
РОМАНТИК,Той, хто мріє про високе й прекрасне,8
ПРАГМАТИК,Той, хто цінує лише практичну користь,9
СКЕПТИК,Той, хто в усьому сумнівається,7
ЦИНІК,Той, хто не вірить у щирі почуття інших,5
ФІЛАНТРОП,Той, хто щедро жертвує на добрі справи,9
МІЗАНТРОП,Той, хто уникає людського товариства,9
ПАТРІОТ,Той, хто щиро любить свою батьківщину,7
ТРУДОГОЛІК,Той, хто не може зупинитись працювати,10
ЕКСЦЕНТРИК,Той, хто поводиться незвично,10
КОНСЕРВАТОР,Той, хто тримається старих порядків,11
ДИКТАТОР,Одноосібний необмежений правитель,8
ТИРАН,Жорстокий одноосібний правитель,5
МОНАРХ,Спадковий одноосібний правитель,6
АНАРХІСТ,Той, хто заперечує будь-яку владу,8
ПАЦИФІСТ,Той, хто категорично проти будь-якого насильства,8
ГУМАНІСТ,Той, хто ставить людину понад усе,8
ФАНАТИК,Той, хто відданий ідеї до крайнощів,7
ЕНТУЗІАСТ,Той, хто береться за справу з великим запалом,9
ДИЛЕТАНТ,Той, хто береться за справу без глибоких знань,8
НОВАТОР,Той, хто впроваджує нові підходи,7
