word,clue,length
ОБЄКТИВ,Оптична частина камери, що збирає світло,7
ЗУМ,Наближення зображення без руху камери,3
ФОКУС,Різкість зображення на певній відстані,5
ВИТРИМКА,Тривалість відкриття затвора камери,8
СПАЛАХ,Короткий яскравий вибух світла для зйомки,6
НЕГАТИВ,Зворотне за кольорами зображення на плівці,7
ВІДБИТОК,Паперова копія фотографії,8
АЛЬБОМ,Книга для зберігання фотографій,6
СЕЛФІ,Знімок самого себе,5
КАДРУВАННЯ,Обрізання зображення для кращої композиції,10
РЕТУШ,Виправлення дрібних дефектів на знімку,5
ФІЛЬТР,Насадка чи ефект, що змінює зображення,6
РОЗМИТІСТЬ,Втрата чіткості зображення,10
ЕКСПОЗИЦІЯ,Кількість світла, що потрапляє на матрицю,10
СВІТЛОТІНЬ,Контраст яскравих і затінених ділянок на знімку,10
