word,clue,length
ЗАТВОР,Механізм, що відкриває доступ світла на матрицю,6
ДІАФРАГМА,Отвір, що регулює кількість світла в об'єктиві,9
ВИТРИМКА,Тривалість освітлення кадру,8
ФОКУСУВАННЯ,Наведення різкості зображення,11
ШТАТИВ,Триногий пристрій для стійкості камери,6
СПАЛАХ,Короткий яскравий імпульс світла для зйомки,6
НЕГАТИВ,Плівка з оберненими кольорами до прояву,7
ВІДБИТОК,Надрукована фотографія,8
РАКУРС,Кут зйомки об'єкта,6
КОМПОЗИЦІЯ,Розташування елементів у кадрі,10
ЕКСПОЗИЦІЯ,Кількість світла, що потрапляє на матрицю,10
ОБЄКТИВ,Оптична частина камери з лінзами,7
ФІЛЬТР,Насадка на об'єктив для зміни зображення,6
ПІКСЕЛЬ,Найменша точка цифрового зображення,7
РЕТУШ,Виправлення дрібних вад на зображенні,5
