word,clue,length
СИЛА,Причина зміни руху тіла,4
ІМПУЛЬС,Добуток маси на швидкість тіла,7
РОБОТА,Дія сили на шляху переміщення,6
ПОТУЖНІСТЬ,Швидкість виконання роботи,10
ЩІЛЬНІСТЬ,Маса, поділена на об'єм,9
ГУСТИНА,Інша назва щільності речовини,7
ТЕПЛОТА,Енергія, що передається від гарячого до холодного,7
ПРОВІДНІСТЬ,Здатність пропускати струм чи тепло,11
ОПІР,Перешкода проходженню струму,4
НАПРУГА,Різниця потенціалів між точками кола,7
ЗАРЯД,Властивість частинки взаємодіяти електрично,5
ПОЛЕ,Простір дії сили без прямого контакту,4
ІНДУКЦІЯ,Виникнення струму від зміни магнітного поля,8
РЕЗОНАНС,Різке зростання амплітуди коливань,8
КОЛИВАННЯ,Повторюваний рух туди-сюди,9
ДИФРАКЦІЯ,Огинання хвилею перешкоди,9
ПОЛЯРИЗАЦІЯ,Впорядкування напряму коливань хвилі,11
КВАНТ,Найменша неподільна порція енергії,5
ФОТОН,Частинка світла,5
ПОЗИТРОН,Античастинка електрона,8
РОЗПАД,Мимовільне перетворення ядра,6
ІЗОЛЯТОР,Матеріал, що не проводить струм,8
ЕНТРОПІЯ,Міра безладу в системі,8
МАЯТНИК,Вантаж на нитці, що рівномірно гойдається,7
ПРУЖИНА,Виток дроту, що стискається й розтягується,7
ЕЛАСТИЧНІСТЬ,Здатність тіла повертати форму після деформації,12
ДЕФОРМАЦІЯ,Зміна форми тіла під дією сили,10
