word,clue,length
ПІРАТ,Морський розбійник,5
СКАРБ,Прихований запас цінностей,5
СКРИНЯ,Дерев'яна ємність для зберігання цінностей,6
КАРТА,Схема з позначенням шляху до скарбу,5
АБОРДАЖ,Напад на судно з підходом впритул,7
ПОВЯЗКА,Прикриття на око пірата,7
ПАПУГА,Улюблений птах пірата на плечі,6
ПРОТЕЗ,Штучна заміна втраченої кінцівки,6
ЧОРНИЙ,Прапор ... з черепом і кістками,6
БУНТ,Повстання команди проти капітана,4
ОСТРІВ,Суходіл, оточений водою з усіх боків,6
КОМПАС,Прилад для орієнтування в морі,6
КАПІТАН,Головна особа на кораблі,7
КОСМОДРОМ,Місце запуску космічних апаратів,9
РАКЕТА,Апарат для польоту в космос,6
