word,clue,length
ЛІКАРНЯ,Заклад для лікування хворих,7
АПТЕКА,Заклад для продажу ліків,6
БАНК,Установа для зберігання й обміну грошей,4
ПОШТА,Заклад для пересилання листів і посилок,5
СУПЕРМАРКЕТ,Великий магазин самообслуговування,11
КІОСК,Невеликий торговий павільйон,5
ПЕРУКАРНЯ,Заклад, де стрижуть і укладають волосся,9
ХІМЧИСТКА,Заклад для чищення одягу спеціальними засобами,9
МАЙСТЕРНЯ,Приміщення для ремонту чи виготовлення речей,9
ОФІС,Приміщення для канцелярської роботи,4
ПРИЙМАЛЬНЯ,Кімната, де очікують перед кабінетом,10
КОРИДОР,Прохід, що з'єднує кімнати,7
ВЕСТИБЮЛЬ,Просторий вхідний хол будівлі,9
СТОЯНКА,Місце для залишення транспорту,7
ЗУПИНКА,Місце очікування громадського транспорту,7
ПЛАТФОРМА,Підвищення вздовж колії для посадки,9
ПЕРОН,Інша назва залізничної платформи,5
