word,clue,length
ДУБ,Могутнє дерево з жолудями,3
БЕРЕЗА,Дерево з білою корою,6
СОСНА,Хвойне дерево з довгими голками парами,5
ЯЛИНА,Хвойне дерево, яке прикрашають на Новий рік,5
ЯЛИЦЯ,Хвойне дерево з плоскими голками без шишок, що звисають,5
КЛЕН,Дерево з характерним листком на прапорі Канади,4
ЛИПА,Дерево з духмяним медоносним цвітом,4
ТОПОЛЯ,Високе швидкоросле дерево з пухом улітку,6
ВІЛЬХА,Дерево, що росте біля води й має темну кору,6
ГРАБ,Дерево з твердою деревиною й зубчастим листям,4
ЯСЕН,Дерево з пірчастим листям і крилатками,4
ГОРОБИНА,Дерево з гронами червоних гірких ягід,8
ЧЕРЕМШИНА,Дерево з дрібними чорними кістянковими плодами,9
КАШТАН,Дерево з великими листками й колючими плодами,6
ПЛАТАН,Дерево з лущеною корою й великим листям,6
КИПАРИС,Струнке хвойне дерево середземноморського клімату,7
СЕКВОЯ,Одне з найвищих і найдовговічніших дерев світу,6
БУК,Дерево з гладкою сірою корою й горішками,3
ТИС,Хвойне дерево з червоними отруйними ягодами,3
МОДРИНА,Хвойне дерево, що скидає голки на зиму,7
ЯЛІВЕЦЬ,Хвойний чагарник із синюватими шишкоягодами,7
ТРОЯНДА,Квітка з шипами - символ кохання,7
ТЮЛЬПАН,Весняна квітка з келихоподібною формою,7
РОМАШКА,Квітка з білими пелюстками й жовтою серединкою,7
СОНЯШНИК,Висока квітка, що обертається за сонцем,8
МАК,Квітка з ніжними пелюстками й дрібним насінням,3
ЛІЛІЯ,Пишна квітка з великими пелюстками й сильним ароматом,5
ГЛАДІОЛУС,Висока квітка з мечоподібним листям,9
ПІВОНІЯ,Пишна багатопелюсткова садова квітка,7
ОРХІДЕЯ,Витончена тропічна квітка,7
ФІАЛКА,Дрібна ароматна квітка фіолетового кольору,6
КОНВАЛІЯ,Лісова квітка з дрібними білими дзвіночками,8
ЖОРЖИНА,Пишна осіння квітка з бульбовим коренем,7
ХРИЗАНТЕМА,Осіння квітка з густими пелюстками,10
ГОРТЕНЗІЯ,Кущова квітка з великими кулястими суцвіттями,9
АЗАЛІЯ,Кущова квітка з яскравим весняним цвітінням,6
БУЗОК,Кущ із гронами запашних бузкових квіток,5
ЖАСМИН,Кущ з дуже запашними білими квітками,6
ЛАВАНДА,Запашна фіолетова квітка південних схилів,7
КУЛЬБАБА,Жовта квітка, що перетворюється на пухнасту кульку,8
БУДЯК,Колючий бур'ян з фіолетовими квітками,5
КРОПИВА,Рослина, що обпікає шкіру при дотику,7
ПОЛИН,Гірка сіро-зелена степова рослина,5
ВОЛОШКА,Синя польова квітка серед жита,7
МАЛЬВА,Висока садова квітка з великими квітками вздовж стебла,6
АЙСТРА,Осіння садова квітка з зірчастими пелюстками,6
НАГІДКИ,Оранжеві квітки з лікувальними властивостями,7
ПІДСНІЖНИК,Перша весняна квітка, що з'являється з-під снігу,10
ОЧЕРЕТ,Високий прибережний злак з волохатою верхівкою,6
КОМИШ,Прибережна болотяна трав'яниста рослина,5
ПАПОРОТЬ,Лісова рослина без квітів, що розмножується спорами,8
МОХ,М'яка зелена рослина без коріння на вологих поверхнях,3
ЛИШАЙНИК,Симбіоз гриба й водорості на камені чи корі,8
ВОДОРІСТЬ,Проста рослина, що живе у воді,9
КОРІНЬ,Підземна частина рослини, що вбирає воду,6
СТЕБЛО,Частина рослини, що несе листя й квіти,6
ЛИСТОК,Плаский зелений орган рослини,6
ПЕЛЮСТКА,Кольорова частина квітки навколо серединки,8
БУТОН,Нерозкрита квітка,5
ПАГІН,Молодий пруток рослини,5
ПАРОСТОК,Щойно проклюнутий росток рослини,8
НАСІНИНА,Зародок майбутньої рослини,8
КОРА,Зовнішній твердий шар стовбура дерева,4
ГІЛКА,Бічний відросток стовбура дерева,5
КРОНА,Верхня розлога частина дерева з листям,5
ПИЛОК,Дрібний порошок квітки для запилення,5
ЛОПАТА,Знаряддя для копання землі,6
ГРАБЛІ,Знаряддя із зубцями для розпушування чи згрібання,6
САПКА,Знаряддя для прополювання й розпушування грядок,5
СЕКАТОР,Ножиці для підрізання гілок,7
ЛІЙКА,Посудина з носиком для поливання рослин,5
ШЛАНГ,Гнучка трубка для поливу з водопроводу,5
ТЕПЛИЦЯ,Скляна чи плівкова споруда для вирощування розсади,7
ПАРНИК,Невелика накрита грядка для раннього вирощування,6
ГРЯДКА,Смуга землі для вирощування овочів чи квітів,6
РОЗСАДА,Молоді рослини, вирощені для пересадки в ґрунт,7
САДЖАНЕЦЬ,Молода рослина для посадки в саду,9
ЖИВОПЛІТ,Ряд кущів, підстрижених у формі стіни,8
КОМПОСТ,Перегнила органічна маса для удобрення ґрунту,7
ДОБРИВО,Речовина для збагачення ґрунту поживними елементами,7
ГНІЙ,Природне добриво з відходів тваринництва,4
ПОЛИВ,Зволоження ґрунту водою,5
ОБРІЗКА,Видалення зайвих гілок рослини,7
ПЕРЕСАДКА,Переміщення рослини в інше місце,9
УРОЖАЙ,Зібрані плоди праці на землі,6
ОГОРОД,Ділянка землі для вирощування овочів,6
САД,Ділянка землі з плодовими деревами,3
ОРАНЖЕРЕЯ,Засклена будівля для вирощування теплолюбних рослин,9
РОЗСАДНИК,Господарство для вирощування молодих рослин,9
