word,clue,length
КРАН,Пристрій для регулювання потоку води,4
ТРУБА,Порожнистий виріб для транспортування рідин,5
ЗЛИВ,Отвір для стоку води,4
ВАННА,Велика посудина для купання,5
ДУШ,Пристрій для обливання водою зверху,3
УМИВАЛЬНИК,Посудина для миття рук та обличчя,10
УНІТАЗ,Санітарний прилад для туалету,6
БОЙЛЕР,Прилад для нагрівання води,6
ЛІЧИЛЬНИК,Прилад для обліку витраченої води,9
ПРОКЛАДКА,Ущільнювальна деталь у крані,9
ЗАСМІЧЕННЯ,Закупорка труби сторонніми речовинами,10
ВАНТУЗ,Гумовий пристрій для прочищення труб,6
СИФОН,Вигнута труба під раковиною проти запаху,5
РАКОВИНА,Посудина для миття посуду чи рук,8
ШЛАНГ,Гнучка труба для подачі води,5
