word,clue,length
БІЛИЙ,Ведмідь ..., найбільший наземний хижак Арктики,5
ПІНГВІН,Нелітаючий птах, що живе колоніями на льоду,7
ТЮЛЕНЬ,Ластоногий мешканець холодних вод,6
МОРЖ,Ластоногий велетень з довгими іклами,4
ПОЛЯРНА,Сова ..., біла хижа птаха півночі,7
ПІВНІЧНИЙ,Олень ..., тварина тундри з розлогими рогами,9
ПІСЕЦЬ,Полярна лисиця з білим зимовим хутром,6
НАРВАЛ,Кит-однорог з довгим рогом-бивнем,6
КАШАЛОТ,Найбільший зубатий кит,7
КОСАТКА,Хижий кит-вбивця,7
ЛЕМІНГ,Дрібний гризун тундри,6
АЙСБЕРГ,Величезна крижана брила у воді,7
ТОРОСИ,Нагромадження криги на льодовому полі,6
ЗОРЯНЕ,Небо ... полярної ночі,6
СЯЙВО,Полярне ..., кольорові спалахи в небі,5
